wn1,R_obs1,R_fit1,wn2,R_obs2,R_fit2
1556.755000,-0.077316,0.069408,1556.755000,0.032509,0.063162
1557.237000,-0.075526,0.069957,1557.237000,0.013145,0.063789
1557.719000,-0.071101,0.070496,1557.719000,-0.004279,0.064406
1558.201000,-0.064781,0.071025,1558.201000,-0.019755,0.065015
1558.683000,-0.057307,0.071545,1558.683000,-0.033275,0.065615
1559.165000,-0.049420,0.072054,1559.165000,-0.044830,0.066206
1559.647000,-0.041860,0.072554,1559.647000,-0.054413,0.066787
1560.129000,-0.035369,0.073043,1560.129000,-0.062016,0.067359
1560.611000,-0.032289,0.073522,1560.611000,-0.067458,0.067921
1561.093000,-0.032966,0.073990,1561.093000,-0.069262,0.068474
1561.575000,-0.036413,0.074449,1561.575000,-0.070037,0.069018
1562.057000,-0.044272,0.074897,1562.057000,-0.069549,0.069552
1562.539000,-0.051430,0.075334,1562.539000,-0.069746,0.070076
1563.021000,-0.054874,0.075761,1563.021000,-0.067974,0.070590
1563.503000,-0.058958,0.076177,1563.503000,-0.068124,0.071094
1563.985000,-0.061276,0.076583,1563.985000,-0.068982,0.071589
1564.467000,-0.060464,0.076978,1564.467000,-0.068802,0.072073
1564.949000,-0.058350,0.077362,1564.949000,-0.068509,0.072547
1565.431000,-0.056770,0.077736,1565.431000,-0.067984,0.073011
1565.913000,-0.053723,0.078099,1565.913000,-0.067747,0.073465
1566.395000,-0.047408,0.078450,1566.395000,-0.066064,0.073909
1566.877000,-0.041962,0.078791,1566.877000,-0.062508,0.074343
1567.359000,-0.035835,0.079121,1567.359000,-0.058243,0.074766
1567.841000,-0.027139,0.079440,1567.841000,-0.052491,0.075179
1568.323000,-0.015482,0.079748,1568.323000,-0.045159,0.075581
1568.805000,-0.001883,0.080044,1568.805000,-0.037348,0.075972
1569.287000,0.013014,0.080330,1569.287000,-0.029599,0.076354
1569.769000,0.029726,0.080604,1569.769000,-0.018265,0.076724
1570.251000,0.044011,0.080868,1570.251000,-0.008693,0.077084
1570.733000,0.057119,0.081120,1570.733000,0.002621,0.077433
1571.215000,0.069981,0.081360,1571.215000,0.014121,0.077771
1571.697000,0.079217,0.081590,1571.697000,0.024367,0.078099
1572.179000,0.086051,0.081808,1572.179000,0.031693,0.078416
1572.661000,0.094458,0.082014,1572.661000,0.039389,0.078721
1573.143000,0.101517,0.082210,1573.143000,0.045044,0.079016
1573.625000,0.108917,0.082394,1573.625000,0.049489,0.079300
1574.107000,0.120777,0.082566,1574.107000,0.058159,0.079573
1574.589000,0.134828,0.082727,1574.589000,0.065828,0.079835
1575.071000,0.152395,0.082877,1575.071000,0.078334,0.080086
1575.553000,0.170138,0.083015,1575.553000,0.091595,0.080325
1576.035000,0.188830,0.083141,1576.035000,0.106260,0.080554
1576.517000,0.206302,0.083256,1576.517000,0.123904,0.080771
