wn1,R_obs1,R_fit1,wn2,R_obs2,R_fit2
1556.755000,-0.077316,0.097211,1556.755000,0.032509,0.083522
1557.237000,-0.075526,0.097888,1557.237000,0.013145,0.084101
1557.719000,-0.071101,0.098576,1557.719000,-0.004279,0.084691
1558.201000,-0.064781,0.099277,1558.201000,-0.019755,0.085291
1558.683000,-0.057307,0.099989,1558.683000,-0.033275,0.085901
1559.165000,-0.049420,0.100714,1559.165000,-0.044830,0.086522
1559.647000,-0.041860,0.101451,1559.647000,-0.054413,0.087153
1560.129000,-0.035369,0.102201,1560.129000,-0.062016,0.087796
1560.611000,-0.032289,0.102965,1560.611000,-0.067458,0.088450
1561.093000,-0.032966,0.103743,1561.093000,-0.069262,0.089116
1561.575000,-0.036413,0.104534,1561.575000,-0.070037,0.089794
1562.057000,-0.044272,0.105340,1562.057000,-0.069549,0.090484
1562.539000,-0.051430,0.106161,1562.539000,-0.069746,0.091188
1563.021000,-0.054874,0.106997,1563.021000,-0.067974,0.091904
1563.503000,-0.058958,0.107849,1563.503000,-0.068124,0.092633
1563.985000,-0.061276,0.108716,1563.985000,-0.068982,0.093376
1564.467000,-0.060464,0.109601,1564.467000,-0.068802,0.094134
1564.949000,-0.058350,0.110502,1564.949000,-0.068509,0.094906
1565.431000,-0.056770,0.111420,1565.431000,-0.067984,0.095693
1565.913000,-0.053723,0.112357,1565.913000,-0.067747,0.096495
1566.395000,-0.047408,0.113312,1566.395000,-0.066064,0.097313
1566.877000,-0.041962,0.114286,1566.877000,-0.062508,0.098147
1567.359000,-0.035835,0.115279,1567.359000,-0.058243,0.098998
1567.841000,-0.027139,0.116293,1567.841000,-0.052491,0.099867
1568.323000,-0.015482,0.117327,1568.323000,-0.045159,0.100752
1568.805000,-0.001883,0.118383,1568.805000,-0.037348,0.101657
1569.287000,0.013014,0.119460,1569.287000,-0.029599,0.102580
1569.769000,0.029726,0.120560,1569.769000,-0.018265,0.103522
1570.251000,0.044011,0.121684,1570.251000,-0.008693,0.104485
1570.733000,0.057119,0.122831,1570.733000,0.002621,0.105467
1571.215000,0.069981,0.124003,1571.215000,0.014121,0.106472
1571.697000,0.079217,0.125201,1571.697000,0.024367,0.107498
1572.179000,0.086051,0.126425,1572.179000,0.031693,0.108546
1572.661000,0.094458,0.127677,1572.661000,0.039389,0.109618
1573.143000,0.101517,0.128956,1573.143000,0.045044,0.110714
1573.625000,0.108917,0.130264,1573.625000,0.049489,0.111835
1574.107000,0.120777,0.131603,1574.107000,0.058159,0.112982
1574.589000,0.134828,0.132972,1574.589000,0.065828,0.114155
1575.071000,0.152395,0.134373,1575.071000,0.078334,0.115356
1575.553000,0.170138,0.135808,1575.553000,0.091595,0.116585
1576.035000,0.188830,0.137276,1576.035000,0.106260,0.117843
1576.517000,0.206302,0.138780,1576.517000,0.123904,0.119131
1576.999000,0.222974,0.140321,1576.999000,0.138704,0.120451
1577.481000,0.238873,0.141900,1577.481000,0.154878,0.121804
1577.963000,0.253138,0.143518,1577.963000,0.169638,0.123190
1578.445000,0.263661,0.145176,1578.445000,0.181088,0.124611
1578.927000,0.272224,0.146877,1578.927000,0.189112,0.126068
1579.409000,0.279630,0.148621,1579.409000,0.193448,0.127563
1579.891000,0.283631,0.150411,1579.891000,0.195642,0.129096
1580.373000,0.289166,0.152248,1580.373000,0.198812,0.130670
1580.855000,0.294355,0.154133,1580.855000,0.203199,0.132285
1581.337000,0.300444,0.156069,1581.337000,0.204470,0.133944
