wn1,R_obs1,R_fit1,wn2,R_obs2,R_fit2
1556.755000,-0.077316,0.058746,1556.755000,0.032509,0.048896
1557.237000,-0.075526,0.059230,1557.237000,0.013145,0.049404
1557.719000,-0.071101,0.059706,1557.719000,-0.004279,0.049906
1558.201000,-0.064781,0.060173,1558.201000,-0.019755,0.050400
1558.683000,-0.057307,0.060632,1558.683000,-0.033275,0.050887
1559.165000,-0.049420,0.061082,1559.165000,-0.044830,0.051367
1559.647000,-0.041860,0.061523,1559.647000,-0.054413,0.051840
1560.129000,-0.035369,0.061956,1560.129000,-0.062016,0.052306
1560.611000,-0.032289,0.062381,1560.611000,-0.067458,0.052764
1561.093000,-0.032966,0.062796,1561.093000,-0.069262,0.053215
1561.575000,-0.036413,0.063203,1561.575000,-0.070037,0.053658
1562.057000,-0.044272,0.063601,1562.057000,-0.069549,0.054094
1562.539000,-0.051430,0.063990,1562.539000,-0.069746,0.054522
1563.021000,-0.054874,0.064370,1563.021000,-0.067974,0.054943
1563.503000,-0.058958,0.064741,1563.503000,-0.068124,0.055356
1563.985000,-0.061276,0.065103,1563.985000,-0.068982,0.055761
1564.467000,-0.060464,0.065456,1564.467000,-0.068802,0.056158
1564.949000,-0.058350,0.065799,1564.949000,-0.068509,0.056548
1565.431000,-0.056770,0.066134,1565.431000,-0.067984,0.056930
1565.913000,-0.053723,0.066459,1565.913000,-0.067747,0.057303
1566.395000,-0.047408,0.066775,1566.395000,-0.066064,0.057669
1566.877000,-0.041962,0.067081,1566.877000,-0.062508,0.058027
1567.359000,-0.035835,0.067378,1567.359000,-0.058243,0.058376
1567.841000,-0.027139,0.067666,1567.841000,-0.052491,0.058718
1568.323000,-0.015482,0.067944,1568.323000,-0.045159,0.059051
1568.805000,-0.001883,0.068213,1568.805000,-0.037348,0.059376
1569.287000,0.013014,0.068472,1569.287000,-0.029599,0.059692
1569.769000,0.029726,0.068722,1569.769000,-0.018265,0.060001
1570.251000,0.044011,0.068962,1570.251000,-0.008693,0.060301
1570.733000,0.057119,0.069193,1570.733000,0.002621,0.060592
1571.215000,0.069981,0.069414,1571.215000,0.014121,0.060876
1571.697000,0.079217,0.069625,1571.697000,0.024367,0.061150
1572.179000,0.086051,0.069826,1572.179000,0.031693,0.061416
1572.661000,0.094458,0.070018,1572.661000,0.039389,0.061674
1573.143000,0.101517,0.070200,1573.143000,0.045044,0.061923
1573.625000,0.108917,0.070372,1573.625000,0.049489,0.062164
1574.107000,0.120777,0.070534,1574.107000,0.058159,0.062395
1574.589000,0.134828,0.070687,1574.589000,0.065828,0.062618
1575.071000,0.152395,0.070829,1575.071000,0.078334,0.062833
1575.553000,0.170138,0.070962,1575.553000,0.091595,0.063038
1576.035000,0.188830,0.071085,1576.035000,0.106260,0.063235
1576.517000,0.206302,0.071198,1576.517000,0.123904,0.063423
1576.999000,0.222974,0.071301,1576.999000,0.138704,0.063602
1577.481000,0.238873,0.071394,1577.481000,0.154878,0.063773
1577.963000,0.253138,0.071477,1577.963000,0.169638,0.063934
1578.445000,0.263661,0.071550,1578.445000,0.181088,0.064087
1578.927000,0.272224,0.071614,1578.927000,0.189112,0.064231
1579.409000,0.279630,0.071667,1579.409000,0.193448,0.064366
1579.891000,0.283631,0.071710,1579.891000,0.195642,0.064492
1580.373000,0.289166,0.071743,1580.373000,0.198812,0.064609
1580.855000,0.294355,0.071767,1580.855000,0.203199,0.064717
1581.337000,0.300444,0.071780,1581.337000,0.204470,0.064816
1581.819000,0.307396,0.071784,1581.819000,0.209461,0.064906
1582.301000,0.310173,0.071777,1582.301000,0.212678,0.064987
1582.783000,0.316046,0.071760,1582.783000,0.218861,0.065059
1583.265000,0.320302,0.071734,1583.265000,0.224754,0.065122
1583.747000,0.326610,0.071697,1583.747000,0.230864,0.065176
1584.229000,0.333671,0.071651,1584.229000,0.241155,0.065220
1584.711000,0.340858,0.071594,1584.711000,0.251653,0.065256
1585.193000,0.347936,0.071528,1585.193000,0.261454,0.065283
1585.675000,0.352406,0.071451,1585.675000,0.270548,0.065301
1586.157000,0.357101,0.071365,1586.157000,0.280050,0.065310
1586.639000,0.360142,0.071269,1586.639000,0.290628,0.065309
1587.121000,0.362622,0.071163,1587.121000,0.298857,0.065300
1587.603000,0.362618,0.071047,1587.603000,0.306364,0.065282
1588.085000,0.363662,0.070921,1588.085000,0.314525,0.065254
1588.567000,0.364164,0.070785,1588.567000,0.323281,0.065218
1589.049000,0.360262,0.070640,1589.049000,0.329719,0.065172
1589.531000,0.358125,0.070485,1589.531000,0.336678,0.065117
1590.013000,0.353457,0.070320,1590.013000,0.340112,0.065054
1590.495000,0.352204,0.070145,1590.495000,0.343387,0.064981
1590.977000,0.351681,0.069960,1590.977000,0.347093,0.064900
1591.459000,0.350742,0.069766,1591.459000,0.348532,0.064809
1591.941000,0.348856,0.069562,1591.941000,0.348886,0.064710
1592.423000,0.347320,0.069348,1592.423000,0.346223,0.064601
1592.905000,0.347959,0.069125,1592.905000,0.344954,0.064484
1593.387000,0.348794,0.068892,1593.387000,0.340327,0.064358
1593.869000,0.348789,0.068650,1593.869000,0.332328,0.064222
1594.351000,0.347713,0.068398,1594.351000,0.327131,0.064078
1594.833000,0.345629,0.068137,1594.833000,0.323014,0.063925
1595.315000,0.344877,0.067866,1595.315000,0.318503,0.063764
1595.797000,0.341036,0.067586,1595.797000,0.313264,0.063593
1596.279000,0.336582,0.067296,1596.279000,0.309523,0.063414
1596.761000,0.331527,0.066997,1596.761000,0.305920,0.063226
1597.243000,0.325356,0.066689,1597.243000,0.301659,0.063029
1597.725000,0.318305,0.066372,1597.725000,0.299350,0.062823
1598.207000,0.310303,0.066045,1598.207000,0.295202,0.062609
1598.689000,0.303410,0.065710,1598.689000,0.293093,0.062386
1599.171000,0.299082,0.065365,1599.171000,0.289268,0.062154
1599.653000,0.297323,0.065011,1599.653000,0.288059,0.061914
1600.135000,0.295457,0.064648,1600.135000,0.285883,0.061666
1600.617000,0.293832,0.064276,1600.617000,0.283541,0.061409
1601.099000,0.291371,0.063895,1601.099000,0.283623,0.061143
1601.581000,0.288661,0.063506,1601.581000,0.281897,0.060869
1602.063000,0.287158,0.063108,1602.063000,0.281365,0.060586
1602.545000,0.283844,0.062700,1602.545000,0.279860,0.060296
1603.027000,0.279790,0.062285,1603.027000,0.278818,0.059997
1603.509000,0.274601,0.061860,1603.509000,0.277441,0.059689
1603.991000,0.268714,0.061428,1603.991000,0.272169,0.059373
1604.473000,0.265937,0.060986,1604.473000,0.270425,0.059050
1604.955000,0.261276,0.060536,1604.955000,0.267247,0.058718
1605.437000,0.255681,0.060078,1605.437000,0.264656,0.058378
1605.919000,0.247611,0.059612,1605.919000,0.261928,0.058030
1606.401000,0.242543,0.059137,1606.401000,0.261199,0.057673
1606.883000,0.237167,0.058654,1606.883000,0.257418,0.057309
1607.365000,0.231265,0.058163,1607.365000,0.250940,0.056937
1607.847000,0.224688,0.057664,1607.847000,0.244121,0.056558
1608.329000,0.217127,0.057157,1608.329000,0.235929,0.056170
1608.811000,0.209640,0.056642,1608.811000,0.229406,0.055775
1609.293000,0.201172,0.056120,1609.293000,0.220212,0.055372
1609.775000,0.195115,0.055589,1609.775000,0.211069,0.054961
1610.257000,0.188044,0.055051,1610.257000,0.201648,0.054543
1610.739000,0.184966,0.054505,1610.739000,0.191690,0.054117
1611.221000,0.178989,0.053952,1611.221000,0.186828,0.053684
1611.703000,0.171026,0.053391,1611.703000,0.180685,0.053243
1612.185000,0.163021,0.052823,1612.185000,0.174878,0.052796
1612.667000,0.154758,0.052248,1612.667000,0.170246,0.052340
1613.149000,0.148366,0.051666,1613.149000,0.165470,0.051878
1613.631000,0.142040,0.051076,1613.631000,0.161773,0.051409
1614.113000,0.134425,0.050479,1614.113000,0.155431,0.050932
1614.595000,0.126642,0.049876,1614.595000,0.149768,0.050449
1615.077000,0.118527,0.049265,1615.077000,0.144493,0.049958
1615.559000,0.111720,0.048648,1615.559000,0.136154,0.049461
1616.041000,0.105001,0.048024,1616.041000,0.126316,0.048957
1616.523000,0.100300,0.047393,1616.523000,0.117035,0.048446
1617.005000,0.094567,0.046756,1617.005000,0.108763,0.047928
1617.487000,0.092116,0.046113,1617.487000,0.098580,0.047404
1617.969000,0.087701,0.045463,1617.969000,0.087714,0.046873
1618.451000,0.085248,0.044807,1618.451000,0.077153,0.046336
1618.933000,0.083492,0.044144,1618.933000,0.068263,0.045793
1619.415000,0.081217,0.043476,1619.415000,0.061182,0.045243
1619.897000,0.078099,0.042802,1619.897000,0.056785,0.044687
1620.379000,0.075813,0.042121,1620.379000,0.055050,0.044125
1620.861000,0.073649,0.041435,1620.861000,0.049643,0.043557
1621.343000,0.071511,0.040744,1621.343000,0.044999,0.042983
1621.825000,0.070371,0.040046,1621.825000,0.040752,0.042403
1622.307000,0.069561,0.039344,1622.307000,0.035423,0.041817
1622.789000,0.068522,0.038635,1622.789000,0.032806,0.041226
1623.271000,0.067192,0.037922,1623.271000,0.028907,0.040628
1623.753000,0.067230,0.037203,1623.753000,0.026165,0.040026
1624.235000,0.067740,0.036479,1624.235000,0.020714,0.039417
1624.717000,0.067399,0.035751,1624.717000,0.015626,0.038804
