wavenumber_cm-1,reflectance_osc_%,baseline_%,dc_%
1556.755000,-0.077316,15.609065,0.046598
1557.237000,-0.075526,15.619146,0.046598
1557.719000,-0.071101,15.629226,0.046598
1558.201000,-0.064781,15.639306,0.046598
1558.683000,-0.057307,15.649384,0.046598
1559.165000,-0.049420,15.659460,0.046598
1559.647000,-0.041860,15.669531,0.046598
1560.129000,-0.035369,15.679597,0.046598
1560.611000,-0.032289,15.689656,0.046598
1561.093000,-0.032966,15.699707,0.046598
1561.575000,-0.036413,15.709748,0.046598
1562.057000,-0.044272,15.719779,0.046598
1562.539000,-0.051430,15.729797,0.046598
1563.021000,-0.054874,15.739801,0.046598
1563.503000,-0.058958,15.749791,0.046598
1563.985000,-0.061276,15.759763,0.046598
1564.467000,-0.060464,15.769717,0.046598
1564.949000,-0.058350,15.779651,0.046598
1565.431000,-0.056770,15.789563,0.046598
1565.913000,-0.053723,15.799449,0.046598
1566.395000,-0.047408,15.809309,0.046598
1566.877000,-0.041962,15.819139,0.046598
1567.359000,-0.035835,15.828938,0.046598
1567.841000,-0.027139,15.838703,0.046598
1568.323000,-0.015482,15.848433,0.046598
1568.805000,-0.001883,15.858123,0.046598
1569.287000,0.013014,15.867773,0.046598
1569.769000,0.029726,15.877381,0.046598
1570.251000,0.044011,15.886943,0.046598
1570.733000,0.057119,15.896457,0.046598
1571.215000,0.069981,15.905922,0.046598
1571.697000,0.079217,15.915335,0.046598
1572.179000,0.086051,15.924694,0.046598
1572.661000,0.094458,15.933997,0.046598
1573.143000,0.101517,15.943240,0.046598
1573.625000,0.108917,15.952424,0.046598
1574.107000,0.120777,15.961544,0.046598
1574.589000,0.134828,15.970599,0.046598
1575.071000,0.152395,15.979587,0.046598
1575.553000,0.170138,15.988505,0.046598
1576.035000,0.188830,15.997352,0.046598
1576.517000,0.206302,16.006126,0.046598
1576.999000,0.222974,16.014824,0.046598
1577.481000,0.238873,16.023444,0.046598
1577.963000,0.253138,16.031985,0.046598
1578.445000,0.263661,16.040444,0.046598
1578.927000,0.272224,16.048819,0.046598
1579.409000,0.279630,16.057109,0.046598
1579.891000,0.283631,16.065312,0.046598
1580.373000,0.289166,16.073425,0.046598
1580.855000,0.294355,16.081447,0.046598
1581.337000,0.300444,16.089377,0.046598
1581.819000,0.307396,16.097211,0.046598
1582.301000,0.310173,16.104950,0.046598
1582.783000,0.316046,16.112590,0.046598
1583.265000,0.320302,16.120131,0.046598
1583.747000,0.326610,16.127571,0.046598
1584.229000,0.333671,16.134908,0.046598
1584.711000,0.340858,16.142140,0.046598
1585.193000,0.347936,16.149267,0.046598
1585.675000,0.352406,16.156286,0.046598
1586.157000,0.357101,16.163197,0.046598
1586.639000,0.360142,16.169997,0.046598
1587.121000,0.362622,16.176686,0.046598
1587.603000,0.362618,16.183262,0.046598
1588.085000,0.363662,16.189725,0.046598
1588.567000,0.364164,16.196072,0.046598
1589.049000,0.360262,16.202302,0.046598
1589.531000,0.358125,16.208415,0.046598
1590.013000,0.353457,16.214410,0.046598
1590.495000,0.352204,16.220285,0.046598
1590.977000,0.351681,16.226039,0.046598
1591.459000,0.350742,16.231671,0.046598
1591.941000,0.348856,16.237181,0.046598
1592.423000,0.347320,16.242567,0.046598
1592.905000,0.347959,16.247829,0.046598
1593.387000,0.348794,16.252966,0.046598
1593.869000,0.348789,16.257977,0.046598
1594.351000,0.347713,16.262861,0.046598
