wavenumber_cm-1,reflectance_osc_%
1556.755000,-0.077316
1557.237000,-0.075526
1557.719000,-0.071101
1558.201000,-0.064781
1558.683000,-0.057307
1559.165000,-0.049420
1559.647000,-0.041860
1560.129000,-0.035369
1560.611000,-0.032289
1561.093000,-0.032966
1561.575000,-0.036413
1562.057000,-0.044272
1562.539000,-0.051430
1563.021000,-0.054874
1563.503000,-0.058958
1563.985000,-0.061276
1564.467000,-0.060464
1564.949000,-0.058350
1565.431000,-0.056770
1565.913000,-0.053723
1566.395000,-0.047408
1566.877000,-0.041962
1567.359000,-0.035835
1567.841000,-0.027139
1568.323000,-0.015482
1568.805000,-0.001883
1569.287000,0.013014
1569.769000,0.029726
1570.251000,0.044011
1570.733000,0.057119
1571.215000,0.069981
1571.697000,0.079217
1572.179000,0.086051
1572.661000,0.094458
1573.143000,0.101517
1573.625000,0.108917
1574.107000,0.120777
1574.589000,0.134828
1575.071000,0.152395
1575.553000,0.170138
1576.035000,0.188830
1576.517000,0.206302
1576.999000,0.222974
1577.481000,0.238873
1577.963000,0.253138
1578.445000,0.263661
1578.927000,0.272224
1579.409000,0.279630
1579.891000,0.283631
1580.373000,0.289166
1580.855000,0.294355
1581.337000,0.300444
1581.819000,0.307396
1582.301000,0.310173
1582.783000,0.316046
1583.265000,0.320302
1583.747000,0.326610
1584.229000,0.333671
1584.711000,0.340858
1585.193000,0.347936
1585.675000,0.352406
1586.157000,0.357101
1586.639000,0.360142
1587.121000,0.362622
1587.603000,0.362618
1588.085000,0.363662
1588.567000,0.364164
1589.049000,0.360262
1589.531000,0.358125
1590.013000,0.353457
1590.495000,0.352204
1590.977000,0.351681
1591.459000,0.350742
1591.941000,0.348856
1592.423000,0.347320
1592.905000,0.347959
1593.387000,0.348794
1593.869000,0.348789
1594.351000,0.347713
1594.833000,0.345629
1595.315000,0.344877
1595.797000,0.341036
1596.279000,0.336582
1596.761000,0.331527
1597.243000,0.325356
1597.725000,0.318305
1598.207000,0.310303
1598.689000,0.303410
1599.171000,0.299082
1599.653000,0.297323
1600.135000,0.295457
1600.617000,0.293832
1601.099000,0.291371
1601.581000,0.288661
1602.063000,0.287158
1602.545000,0.283844
1603.027000,0.279790
1603.509000,0.274601
1603.991000,0.268714
1604.473000,0.265937
1604.955000,0.261276
1605.437000,0.255681
1605.919000,0.247611
1606.401000,0.242543
1606.883000,0.237167
1607.365000,0.231265
1607.847000,0.224688
1608.329000,0.217127
1608.811000,0.209640
1609.293000,0.201172
1609.775000,0.195115
1610.257000,0.188044
1610.739000,0.184966
1611.221000,0.178989
1611.703000,0.171026
1612.185000,0.163021
1612.667000,0.154758
1613.149000,0.148366
1613.631000,0.142040
1614.113000,0.134425
1614.595000,0.126642
1615.077000,0.118527
1615.559000,0.111720
1616.041000,0.105001
1616.523000,0.100300
1617.005000,0.094567
1617.487000,0.092116
1617.969000,0.087701
1618.451000,0.085248
1618.933000,0.083492
1619.415000,0.081217
1619.897000,0.078099
1620.379000,0.075813
1620.861000,0.073649
1621.343000,0.071511
1621.825000,0.070371
1622.307000,0.069561
1622.789000,0.068522
1623.271000,0.067192
1623.753000,0.067230
1624.235000,0.067740
1624.717000,0.067399
1625.199000,0.066076
1625.681000,0.065268
1626.163000,0.064415
1626.645000,0.063415
1627.127000,0.062106
1627.609000,0.061990
1628.091000,0.062786
1628.573000,0.062284
1629.055000,0.062189
1629.537000,0.062215
1630.019000,0.062975
1630.501000,0.065852
1630.983000,0.067476
1631.465000,0.069433
1631.947000,0.071793
1632.429000,0.074288
1632.911000,0.075255
1633.393000,0.076851
1633.875000,0.075144
1634.357000,0.076278
1634.839000,0.073002
1635.321000,0.071085
1635.803000,0.068054
1636.285000,0.066262
1636.767000,0.063311
1637.249000,0.062566
1637.731000,0.061741
1638.213000,0.061375
1638.695000,0.060618
1639.177000,0.063203
1639.659000,0.062956
1640.141000,0.061705
1640.623000,0.059198
1641.105000,0.058652
1641.587000,0.054650
1642.069000,0.056222
1642.551000,0.055428
1643.033000,0.056060
1643.515000,0.053201
1643.997000,0.051993
1644.479000,0.050190
1644.961000,0.047640
1645.443000,0.044524
1645.925000,0.044091
1646.407000,0.038569
1646.889000,0.033391
1647.371000,0.029151
1647.853000,0.025244
1648.335000,0.023038
1648.817000,0.023880
1649.299000,0.025941
1649.781000,0.028224
1650.263000,0.028941
1650.745000,0.029850
1651.227000,0.030893
1651.709000,0.031975
1652.191000,0.033787
1652.673000,0.035057
1653.155000,0.034620
1653.637000,0.034951
1654.119000,0.034926
1654.601000,0.034427
1655.083000,0.034447
1655.565000,0.035037
1656.047000,0.036559
1656.529000,0.037383
1657.011000,0.037025
1657.493000,0.037769
1657.975000,0.038138
1658.457000,0.038582
1658.939000,0.039133
1659.421000,0.038430
