wavenumber_cm-1,reflectance_%
2000.302000,30.855782
2000.784000,30.850502
2001.266000,30.838993
2001.748000,30.822153
2002.230000,30.800876
2002.712000,30.776059
2003.194000,30.748597
2003.676000,30.719385
2004.158000,30.691530
2004.640000,30.662732
2005.122000,30.636813
2005.604000,30.606935
2006.086000,30.581876
2006.568000,30.552533
2007.050000,30.525045
2007.532000,30.494255
2008.014000,30.467775
2008.496000,30.437239
2008.978000,30.408771
2009.460000,30.380605
2009.942000,30.353620
2010.424000,30.328119
2010.906000,30.304972
2011.388000,30.278097
2011.870000,30.253246
2012.352000,30.225477
2012.834000,30.200258
2013.316000,30.172414
2013.798000,30.141186
2014.280000,30.112042
2014.762000,30.081802
2015.244000,30.047531
2015.726000,30.016674
2016.208000,29.983327
2016.690000,29.952817
2017.172000,29.920305
2017.654000,29.887685
2018.136000,29.854480
2018.618000,29.822577
2019.100000,29.791798
2019.582000,29.766023
2020.064000,29.737753
2020.546000,29.706886
2021.028000,29.679438
2021.510000,29.649359
2021.992000,29.619725
2022.474000,29.590229
2022.956000,29.561641
2023.438000,29.534458
2023.920000,29.505934
2024.402000,29.479422
2024.884000,29.451673
2025.366000,29.424821
2025.848000,29.398985
2026.330000,29.374186
2026.812000,29.343406
2027.294000,29.311020
2027.776000,29.278362
2028.258000,29.244272
2028.740000,29.209187
2029.222000,29.174046
2029.704000,29.142848
2030.186000,29.112439
2030.668000,29.083531
2031.150000,29.058113
2031.632000,29.031933
2032.114000,29.005072
2032.596000,28.979285
2033.078000,28.951205
2033.560000,28.919230
2034.042000,28.886202
2034.524000,28.853239
2035.006000,28.821014
2035.488000,28.787437
2035.970000,28.754368
2036.452000,28.720538
2036.934000,28.688054
2037.416000,28.654857
2037.898000,28.625077
2038.380000,28.592122
2038.862000,28.559325
2039.344000,28.528352
2039.826000,28.493854
2040.308000,28.464137
2040.790000,28.434776
2041.272000,28.406289
2041.754000,28.377962
2042.236000,28.351372
2042.718000,28.323435
2043.200000,28.293527
2043.682000,28.264553
2044.164000,28.236666
2044.646000,28.206052
2045.128000,28.175458
2045.610000,28.143515
2046.092000,28.108422
2046.574000,28.076124
